		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
050-Paper2820	ALL-IN: A Local GLobal Graph-based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment	Reproducibility might be slightly challenging without knowing all parameters (ex: number of super nodes) but this method is reproducible in a reasonable manner.								Sufficiently reproducible if code is provided. Paper likely does not provide sufficient detail on model architecture/training to replicate otherwise.								good											0	0	0	0	0	0	
051-Paper1205	AMAE: Adaptation of Pre-Trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays	Most concepts should be quite easily reproducible. However, since this work uses a pretrained model, multiple stages and no training code will be made available I feel like this would hinder the reproducibility quite a lot.								It seems reproducible as the authors have provided many details of the proposed methods. If the authors promise the release their codes, I will consider increase my score.								Have no idea.											0	0	0	0	0	0	
052-Paper0989	AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor	Authors provide a link for the release of their code								The authors did not specifically introduce the experimental environment and parameters and did not provide the code, which is not very convenient for other researchers to access.								The paper is reproducible											0	0	0	0	0	0	
053-Paper2596	An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment	No relevant								The dataset does not seem to be available for download.								The paper focuses on dataset that is strictly related to the data, so it is reproducible for someone possessing the base data.											0	0	0	0	0	0	
054-Paper1278	An Anti-Biased TBSRTC-Category Aware Nuclei Segmentation Framework with A Multi-Label Thyroid Cytology Benchmark	The code is provided and the model is explained well, helping with the reproducibility of the method.								Code is available.  Data will be available upon acceptance								The illustration of the method is clear to reproduce the method. And the dataset will be released on GitHub after the review process.											0	0	0	0	0	0	
055-Paper2173	An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and its Application for Automatically Computing the Conformational Pathway	Reproducibility is fine								The work is reproducible.								code was provided											0	0	0	0	0	0	
056-Paper2970	An automated pipeline for quantitative T2* fetal body MRI and segmentation at low field	The present application-oriented study has poor reproducibility based since:    data is not made available  code of the whole pipeline is not made to , only certain parts like the standard nnUnet  trained models are not made available  computational requirements were not described  due to small number of test cases, reproducing the results on different dataset could be challenging (especially since the test data structure is not fully reported, i.e. sex, gestational age, diagnosis, ethnicity, etc.)								The paper has provided enough details for ensuring general reproducibility.								Information to reproduce the experiments is provided.											0	0	0	0	0	0	
057-Paper0599	An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis	Reproducibility is good. Public datasets in development and evaluation. Publicly available code (up on acceptance). Reported both mean and standard deviation in comparisons.								Limited reproducibility. This is an interesting work. It would be better if the authors could make corresponding codes public to make a better contribution to the community.								okayish but more details need to presented.											0	0	0	0	0	0	
058-Paper3214	An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment	No significant concerns, code not released yet during the reviewing phase.								The paper describes they will release the code upon acceptance.								They did well											0	0	0	0	0	0	
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography	According to the authors' answers to the checklist as well as the information provided in the article, the reproducibility appears to be possible.   The actual code is not included.								Details clear. Data and code not available, although data may become available via another paper on arxiv								Dataset is publicly available. No information about code release is provided.											0	0	0	0	0	0	
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases	The data used is not publicly available, making it hard both to reproduce and compare in future studies.  The architecture hyperparameters and training details (loss, train/test splits, etc..) are provided.  The code is yet not made available (maybe for anonymisation of the submission).								The authors mark all "Yes" in the reproducibility checklist. Based on the model explanation and loss functions in the paper, reproducing the method should be feasible.								Despite the lack of open-source code, the reproducibility of this paper is acceptable.											0	0	0	0	0	0	
061-Paper2566	Analysis of Suture Force Simulations for Optimal Orientation of Rhomboid Skin Flaps	The Authors' statements about the reproducibility of the paper appear to be correct/true. Including the input files for conducting the simulations may be one possible area for improvement.								The reproducibility can be rated as sufficient.								The given conditions in FEM during a skin flap procedure is quite unknown. So, it is difficult to reproduce the simulation and experiments. For example, the followings information are unknown or insufficient:    The applied forces or given displacements during a skin flap procedure  (In the supplemental movie, the flapped skin moves step by step, and the movement looks depending not on the simple applied forces. The applied forces look changing during skin flap. But, it is unclear how the temporal difference of applied conditions are determined. )  How to match the nodes of different segments in a skin flap											0	0	0	0	0	0	
062-Paper2830	Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model	While datasets used in this study for experiments are publicly available, the hybrid transformer-CNN algorithm is not mathematically expressed or made available to the reader/reviewer for checking. This definitely reduces the reproducibility of the paper.								Authors have indicated that the code will be released upon acceptance. This in conjunction with the observation that the model is evaluated on public benchmark would significant help with reproducibility.								n/a											0	0	0	0	0	0	
063-Paper0270	Anatomical-aware Point-Voxel Network for Couinaud Segmentation in Liver CT	Yes								The intra- and inter-user variability between multiple annotators are not reported. This variability is essential to clarify the desired resolution for the output!    The split for the training/validation is not mentioned.    The network is trained for 400 epochs, but how the final weight is chosen? Best on the validation loss?    The training and validation loss of the selected epoch for each method is not mentioned.    The robustness of the Couinaud segmentation with respect to the performance of the liver/vessel segmentation is not reported.								The used hyperparameters were well documented											0	0	0	0	0	0	
064-Paper0383	Anatomy-Driven Pathology Detection on Chest X-rays	Code provided. Links to data provided. So, in general, it is reproducibility is adequate in the way the method has been described in the paper. However, a link to github repository (even if private at this stage) is not provided. And without that the description isnt sufficient for someone to recreate this work easily - but, it is possible.								The authors used 2 public datasets and the approach explained quite well which makes it feasible to reproduce.								The author provides the code and supplementary materials.											0	0	0	0	0	0	
065-Paper1594	Anatomy-informed Data Augmentation for Enhanced Prostate Cancer Detection	This is a 100% reproducible.								Reproducible. Method details described well.								The paper is unlikely to be reproduccible with the current information provided.											0	0	0	0	0	0	
